Keyword,Frequency
gan,787
algan,154
hemt,73
ingan,65
deep learning,63
generative adversarial networks,61
generative adversarial network,60
mocvd,54
gan hemt,46
graphene,44
aln,37
gallium nitride (gan),37
algan/gan,34
nanowires,32
generative,31
nanowire,30
gan nanowires,29
gallium nitride,28
photoluminescence,25
generative adversarial,24
molecular beam epitaxy,24
diffusion model,22
p-gan,22
led,22
machine learning,21
data augmentation,21
breakdown voltage,21
gan hemts,20
ion implantation,20
defects,18
ultraviolet,17
light-emitting diodes,17
generative adversarial network (gan),16
polarization,16
heterojunction,16
gan heterostructure,16
mos2,16
doping,15
photodetector,15
hemts,15
2deg,15
normally-off,14
dislocation,14
micro-led,14
algan/gan hemt,14
movpe,14
passivation,14
ingan/gan,14
high electron mobility transistor,14
n-polar gan,13
